nohup: ignoring input

=== Treinando com mask_00_exec100p (18/18 blocos ativos) ===
[mask_00_exec100p] epoch 1/20 | train_loss 0.0106 acc 99.71 | val_loss 0.3585 acc 92.57 | 8.2s
[mask_00_exec100p] epoch 2/20 | train_loss 0.0111 acc 99.67 | val_loss 0.3459 acc 92.76 | 7.9s
[mask_00_exec100p] epoch 3/20 | train_loss 0.0109 acc 99.73 | val_loss 0.3496 acc 92.49 | 8.0s
[mask_00_exec100p] epoch 4/20 | train_loss 0.0117 acc 99.66 | val_loss 0.3592 acc 92.54 | 7.8s
[mask_00_exec100p] epoch 5/20 | train_loss 0.0116 acc 99.69 | val_loss 0.3564 acc 92.53 | 8.1s
[mask_00_exec100p] epoch 6/20 | train_loss 0.0125 acc 99.64 | val_loss 0.3607 acc 92.46 | 8.1s
[mask_00_exec100p] epoch 7/20 | train_loss 0.0109 acc 99.67 | val_loss 0.3609 acc 92.78 | 8.2s
[mask_00_exec100p] epoch 8/20 | train_loss 0.0137 acc 99.63 | val_loss 0.3544 acc 92.88 | 8.1s
[mask_00_exec100p] epoch 9/20 | train_loss 0.0116 acc 99.65 | val_loss 0.3478 acc 92.44 | 8.0s
[mask_00_exec100p] epoch 10/20 | train_loss 0.0121 acc 99.64 | val_loss 0.3668 acc 92.27 | 7.8s
[mask_00_exec100p] epoch 11/20 | train_loss 0.0123 acc 99.61 | val_loss 0.3745 acc 92.42 | 7.9s
[mask_00_exec100p] epoch 12/20 | train_loss 0.0129 acc 99.63 | val_loss 0.3674 acc 92.35 | 8.0s
[mask_00_exec100p] epoch 13/20 | train_loss 0.0113 acc 99.66 | val_loss 0.3512 acc 92.68 | 7.9s
[mask_00_exec100p] epoch 14/20 | train_loss 0.0116 acc 99.63 | val_loss 0.3523 acc 92.72 | 7.9s
[mask_00_exec100p] epoch 15/20 | train_loss 0.0115 acc 99.67 | val_loss 0.3598 acc 92.59 | 7.9s
[mask_00_exec100p] epoch 16/20 | train_loss 0.0104 acc 99.72 | val_loss 0.3680 acc 92.53 | 8.0s
[mask_00_exec100p] epoch 17/20 | train_loss 0.0104 acc 99.70 | val_loss 0.3559 acc 92.79 | 8.0s
[mask_00_exec100p] epoch 18/20 | train_loss 0.0115 acc 99.66 | val_loss 0.3535 acc 92.74 | 7.9s
[mask_00_exec100p] epoch 19/20 | train_loss 0.0098 acc 99.72 | val_loss 0.3565 acc 92.68 | 7.7s
[mask_00_exec100p] epoch 20/20 | train_loss 0.0107 acc 99.70 | val_loss 0.3604 acc 92.77 | 7.9s
[mask_00_exec100p] Fim. Best Val Acc = 92.88% | dir=save_mask_sweep/20250902_230826_mask_00_exec100p

=== Treinando com mask_01_exec00p (0/18 blocos ativos) ===
[mask_01_exec00p] epoch 1/20 | train_loss 1.9985 acc 25.42 | val_loss 1.9360 acc 27.77 | 7.3s
[mask_01_exec00p] epoch 2/20 | train_loss 1.9265 acc 28.26 | val_loss 1.9187 acc 27.31 | 7.7s
[mask_01_exec00p] epoch 3/20 | train_loss 1.8909 acc 29.15 | val_loss 1.8500 acc 30.95 | 7.8s
[mask_01_exec00p] epoch 4/20 | train_loss 1.8599 acc 30.29 | val_loss 1.9569 acc 27.51 | 7.8s
[mask_01_exec00p] epoch 5/20 | train_loss 1.8385 acc 30.77 | val_loss 1.8157 acc 31.80 | 7.1s
[mask_01_exec00p] epoch 6/20 | train_loss 1.8296 acc 31.15 | val_loss 1.7929 acc 32.41 | 7.7s
[mask_01_exec00p] epoch 7/20 | train_loss 1.8213 acc 31.73 | val_loss 1.8511 acc 31.00 | 7.8s
[mask_01_exec00p] epoch 8/20 | train_loss 1.8185 acc 31.64 | val_loss 1.8573 acc 31.60 | 7.2s
[mask_01_exec00p] epoch 9/20 | train_loss 1.8110 acc 31.78 | val_loss 1.7897 acc 32.96 | 7.6s
[mask_01_exec00p] epoch 10/20 | train_loss 1.8042 acc 32.14 | val_loss 1.7807 acc 33.70 | 7.6s
[mask_01_exec00p] epoch 11/20 | train_loss 1.7992 acc 32.35 | val_loss 1.8508 acc 30.90 | 7.7s
[mask_01_exec00p] epoch 12/20 | train_loss 1.7886 acc 32.49 | val_loss 1.7615 acc 33.93 | 7.9s
[mask_01_exec00p] epoch 13/20 | train_loss 1.7863 acc 32.76 | val_loss 1.8264 acc 31.60 | 7.8s
